
+-----------+--------------------------+------------------+----------------+----------------+----------------+---+
|        Id | Apellidos                | Nombre           |     Sal. bruto |    Deducciones |      Sal. neto | * |
| 855824689 | Cabezas Alvarado         | Alejandro        |   1,150,000.00 |     113,500.00 |   1,036,500.00 | * |
| 235116844 | Cabezas Carvajal         | Sebastián        |   2,425,000.00 |     292,000.00 |   2,133,000.00 |   |
| 878396327 | Calderón Arias           | Ana María        |     700,000.00 |      63,000.00 |     637,000.00 | * |
| 327734958 | Calvo Madrigal           | Abraham          |   2,500,000.00 |     302,500.00 |   2,197,500.00 |   |
| 696745926 | Cambronero Arroyo        | José María       |   1,500,000.00 |     162,500.00 |   1,337,500.00 |   |
| 840839213 | Castillo Ureña           | Jorge            |   1,875,000.00 |     215,000.00 |   1,660,000.00 |   |
| 761277236 | Chacón Rodríguez         | David            |   1,225,000.00 |     124,000.00 |   1,101,000.00 | * |
| 562554652 | Chacón Varela            | Daniela          |   1,425,000.00 |     152,000.00 |   1,273,000.00 | * |
| 744516894 | Chacón Víquez            | Melissa          |     975,000.00 |      89,000.00 |     886,000.00 | * |
| 746991275 | Chavarría Madrigal       | Esteban          |   2,125,000.00 |     250,000.00 |   1,875,000.00 |   |
| 831152192 | Chaves Álvarez           | Francisco        |   1,225,000.00 |     124,000.00 |   1,101,000.00 | * |
| 951845512 | Chinchilla Castro        | Arnoldo          |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 643254685 | Chinchilla Serrano       | Andrea           |     600,000.00 |      54,000.00 |     546,000.00 | * |
| 820347327 | Collado Hernández        | Christian        |     975,000.00 |      89,000.00 |     886,000.00 | * |
| 733375021 | Delgado Chaves           | Luis             |   2,200,000.00 |     260,500.00 |   1,939,500.00 |   |
| 513262162 | Díaz López               | Enrique          |   1,175,000.00 |     117,000.00 |   1,058,000.00 | * |
| 498133986 | Fernández González       | María            |     825,000.00 |      74,250.00 |     750,750.00 | * |
| 339779229 | Fernández Mata           | Daniel           |   1,425,000.00 |     152,000.00 |   1,273,000.00 | * |
| 924846100 | Fernández Prado          | Arturo           |   1,500,000.00 |     162,500.00 |   1,337,500.00 |   |
| 954586276 | Fernández Valverde       | Lucía            |   1,350,000.00 |     141,500.00 |   1,208,500.00 | * |
| 578504788 | Gamboa Alfaro            | Manrique         |     975,000.00 |      89,000.00 |     886,000.00 | * |
| 633999002 | García Quesada           | William          |   1,500,000.00 |     162,500.00 |   1,337,500.00 |   |
| 763533983 | González Artavia         | Juan Carlos      |     900,000.00 |      81,000.00 |     819,000.00 | * |
| 241546523 | González Barquero        | Luis Carlos      |   1,100,000.00 |     106,500.00 |     993,500.00 | * |
| 271049986 | González Mora            | Federico         |   1,050,000.00 |      99,500.00 |     950,500.00 | * |
| 758596637 | González Murillo         | Oscar            |   2,475,000.00 |     299,000.00 |   2,176,000.00 |   |
| 127202820 | González Rivas           | Alejandra        |     850,000.00 |      76,500.00 |     773,500.00 | * |
| 165825518 | González Rodríguez       | José Luis        |     750,000.00 |      67,500.00 |     682,500.00 | * |
| 736847602 | González Rodríguez       | Arturo           |   2,000,000.00 |     232,500.00 |   1,767,500.00 |   |
| 212775564 | Granados Carballo        | Sebastián        |     925,000.00 |      83,250.00 |     841,750.00 | * |
| 391571206 | Grisanti Rodríguez       | Daniel           |   1,600,000.00 |     176,500.00 |   1,423,500.00 |   |
| 490256127 | Gutiérrez Zamora         | Ana María        |     600,000.00 |      54,000.00 |     546,000.00 | * |
| 868573517 | Guzman Ugalde            | Verónica         |   1,075,000.00 |     103,000.00 |     972,000.00 | * |
| 792219909 | Hernández Fuentes        | Wendy            |     700,000.00 |      63,000.00 |     637,000.00 | * |
| 532919143 | López Núñez              | Mariano          |   2,100,000.00 |     246,500.00 |   1,853,500.00 |   |
| 191617618 | Masís Mora               | Alejandro        |   2,450,000.00 |     295,500.00 |   2,154,500.00 |   |
| 232823832 | Méndez Garita            | Miguel           |   2,000,000.00 |     232,500.00 |   1,767,500.00 |   |
| 688201307 | Méndez Jiménez           | Raquel           |   1,150,000.00 |     113,500.00 |   1,036,500.00 | * |
| 330131835 | Monroy Azofeifa          | Gabriel          |     775,000.00 |      69,750.00 |     705,250.00 | * |
| 617248682 | Montero Elizondo         | Marlon           |     775,000.00 |      69,750.00 |     705,250.00 | * |
| 366975330 | Montero Rodríguez        | Manuel           |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 215942099 | Moraga Pérez             | Isabel           |     850,000.00 |      76,500.00 |     773,500.00 | * |
| 398735127 | Mora Jiménez             | Ricardo          |   1,200,000.00 |     120,500.00 |   1,079,500.00 | * |
| 516583716 | Murillo Barquero         | Diana            |   2,475,000.00 |     299,000.00 |   2,176,000.00 |   |
| 675779620 | Núñez González           | Francisco        |   1,100,000.00 |     106,500.00 |     993,500.00 | * |
| 199352285 | Ocampo Flores            | Valeria          |   1,300,000.00 |     134,500.00 |   1,165,500.00 | * |
| 620531830 | Quesada Aguilar          | Sebastián        |     775,000.00 |      69,750.00 |     705,250.00 | * |
| 929596547 | Quesada Morales          | Esteban          |   1,500,000.00 |     162,500.00 |   1,337,500.00 |   |
| 275479912 | Quesada Salvatierra      | Christian        |     800,000.00 |      72,000.00 |     728,000.00 | * |
| 454395044 | Quirós Garro             | Luis             |   1,025,000.00 |      96,000.00 |     929,000.00 | * |
| 945148643 | Quirós Villegas          | Carlos Eduardo   |   2,225,000.00 |     264,000.00 |   1,961,000.00 |   |
| 952851799 | Ramírez Carvajal         | Juan             |   2,275,000.00 |     271,000.00 |   2,004,000.00 |   |
| 982085699 | Ramírez Chaves           | Angela           |   1,675,000.00 |     187,000.00 |   1,488,000.00 |   |
| 711497637 | Ramírez Mora             | Javier           |     625,000.00 |      56,250.00 |     568,750.00 | * |
| 380254927 | Ramírez Prado            | Andrés           |     625,000.00 |      56,250.00 |     568,750.00 | * |
| 716594040 | Recio Solís              | Estefanía        |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 491256614 | Rivera Carvajal          | Sebastián        |     625,000.00 |      56,250.00 |     568,750.00 | * |
| 246779146 | Robles Marín             | Isaac            |   2,100,000.00 |     246,500.00 |   1,853,500.00 |   |
| 933091514 | Rodríguez Arias          | Edgar            |   1,900,000.00 |     218,500.00 |   1,681,500.00 |   |
| 899519287 | Rodríguez Mata           | Josué            |     625,000.00 |      56,250.00 |     568,750.00 | * |
| 271077920 | Rodríguez Morales        | Sebastián        |   2,275,000.00 |     271,000.00 |   2,004,000.00 |   |
| 799004262 | Rodríguez Sánchez        | Luis             |   2,375,000.00 |     285,000.00 |   2,090,000.00 |   |
| 589119684 | Rojas Acevedo            | Yamil            |     850,000.00 |      76,500.00 |     773,500.00 | * |
| 332361645 | Rojas Fernández          | Juan Carlos      |   2,125,000.00 |     250,000.00 |   1,875,000.00 |   |
| 267201089 | Rojas Núñez              | Cristina         |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 865897166 | Ruiz Navarro             | Carlos           |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 913535357 | Sáenz Montero            | María            |   1,725,000.00 |     194,000.00 |   1,531,000.00 |   |
| 542423065 | Salas Bermúdez           | Carmen María     |   2,275,000.00 |     271,000.00 |   2,004,000.00 |   |
| 167385405 | Salas Chaves             | José             |   2,075,000.00 |     243,000.00 |   1,832,000.00 |   |
| 582526637 | Salazar Mora             | Juan             |   1,550,000.00 |     169,500.00 |   1,380,500.00 |   |
| 238298422 | Sánchez Cerdas           | Marielos         |   2,325,000.00 |     278,000.00 |   2,047,000.00 |   |
| 824273178 | Sánchez Zúñiga           | Edgar            |   2,100,000.00 |     246,500.00 |   1,853,500.00 |   |
| 931447906 | Segura Matarrita         | Valeria          |   1,750,000.00 |     197,500.00 |   1,552,500.00 |   |
| 741549800 | Segura Rojas             | Andrés           |   2,500,000.00 |     302,500.00 |   2,197,500.00 |   |
| 431857046 | Solano Barrantes         | Luis Guillermo   |   1,075,000.00 |     103,000.00 |     972,000.00 | * |
| 333184829 | Solano Fonseca           | Manuel           |   2,300,000.00 |     274,500.00 |   2,025,500.00 |   |
| 561566290 | Solano Ramírez           | Luis Roberto     |   1,825,000.00 |     208,000.00 |   1,617,000.00 |   |
| 527871967 | Soto Quesada             | Pedro            |   2,400,000.00 |     288,500.00 |   2,111,500.00 |   |
| 756931680 | Taylor Valverde          | Jesús            |   1,200,000.00 |     120,500.00 |   1,079,500.00 | * |
| 634047602 | Ugalde Calvo             | Juan             |   1,450,000.00 |     155,500.00 |   1,294,500.00 |   |
| 283388922 | Ugalde Vincenzi          | Joseline         |   1,850,000.00 |     211,500.00 |   1,638,500.00 |   |
| 150585561 | Valverde Salas           | Gastón           |   1,925,000.00 |     222,000.00 |   1,703,000.00 |   |
| 318748415 | Vargas Bogantes          | Teresa           |   2,025,000.00 |     236,000.00 |   1,789,000.00 |   |
| 878181422 | Villalobos Sánchez       | Miguel           |     750,000.00 |      67,500.00 |     682,500.00 | * |
| 989804293 | Vindas Durán             | Sebastián        |   2,050,000.00 |     239,500.00 |   1,810,500.00 |   |
| 685131894 | Zumbado Quesada          | Daniel           |   2,500,000.00 |     302,500.00 |   2,197,500.00 |   |
+-----------+--------------------------+------------------+----------------+----------------+----------------+---+
                                                          |     600,000.00 |      54,000.00 |     546,000.00 |
                                                          |   1,605,416.67 |     179,195.83 |   1,426,220.83 |
                                                          |   2,500,000.00 |     302,500.00 |   2,197,500.00 |
                                                          +----------------+----------------+----------------+
